,Bookmaker,Sharp Book Price,Sporttrade,Bet365,DraftKings Pick6,FanDuel,DraftKings,BetMGM,Caesars,PointsBet,BetOnline,Bovada,Unibet,Sugarhouse,888sports,BetRivers,SportsBetting,Four Winds,Parx,Over,Under
2/15 9:00 PM Lauri Markkanen(F-C) UTA vs. GSW,  ,  ,  ,"o2.5 -130
u2.5 +100",  ,"o2.5 -130
u2.5 +102","o2.5 -125
u2.5 -105",  ,"o2.5 -125
u2.5 -109","o2.5 -125
u2.5 -105","o2.5 -123
u2.5 -105","o2.5 -123
u2.5 -105",  ,  ,"o2.5 -133
u2.5 -118",  ,"o2.5 -123
u2.5 -105",  ,  ,{2.5: -126.3},{2.5: -61.1}
2/15 9:00 PM John Collins(F-C) UTA vs. GSW,  ,  ,  ,"o0.5 -200
u0.5 +160",  ,"o0.5 -196
u0.5 +152","o0.5 -180
u0.5 +140",  ,"o0.5 -179
u0.5 +129","o0.5 -175
u0.5 +135","o0.5 -189
u0.5 +144","o0.5 -189
u0.5 +144",  ,  ,"o0.5 -200
u0.5 +130",  ,"o0.5 -189
u0.5 +144",  ,  ,{0.5: -188.6},{0.5: 142.0}
2/15 9:00 PM Collin Sexton(G) UTA vs. GSW,  ,  ,  ,"o1.5 -130
u1.5 +100",  ,"o1.5 -115
u1.5 -111","o1.5 -130
u1.5 +100",  ,"o1.5 -133
u1.5 -103","o1.5 -125
u1.5 -105","o1.5 -128
u1.5 -101","o1.5 -128
u1.5 -101",  ,  ,"o1.5 -141
u1.5 -105",  ,"o1.5 -128
u1.5 -101",  ,  ,{1.5: -128.7},{1.5: -58.6}
2/15 9:00 PM Keyonte George(G) UTA vs. GSW,  ,  ,  ,"o1.5 -140
u1.5 +110",  ,"o1.5 -170
u1.5 +132","o1.5 -140
u1.5 +110",  ,"o1.5 -143
u1.5 +104","o1.5 -145
u1.5 +110","o1.5 -147
u1.5 +114","o1.5 -147
u1.5 +114",  ,  ,"o1.5 -152
u1.5 +105",  ,"o1.5 -147
u1.5 +114",  ,  ,{1.5: -147.9},{1.5: 112.6}
2/15 10:00 PM Jaden McDaniels(F) MIN @ POR,  ,  ,  ,"o1.5 +160
u1.5 -200",  ,  ,"o1.5 +154
u1.5 -200",  ,"o1.5 +143
u1.5 -200",  ,  ,  ,  ,  ,"o1.5 +140
u1.5 -213",  ,  ,  ,  ,{},{}
2/15 10:00 PM Anthony Edwards(G) MIN @ POR,  ,  ,  ,"o3.5 +145
u3.5 -180",  ,"o2.5 -162
u2.5 +126","o3.5 +135
u3.5 -175",  ,"o3.5 +133
u3.5 -185",  ,"o3.5 +139
u3.5 -182","o3.5 +139
u3.5 -182","o2.5 -165
u2.5 +123","o2.5 -165
u2.5 +123","o3.5 +125
u3.5 -200","o2.5 -165
u2.5 +123","o3.5 +139
u3.5 -182","o2.5 -165
u2.5 +123","o2.5 -165
u2.5 +123",{2.5: -164.5},{2.5: 123.5}
2/15 10:00 PM Karl-Anthony Towns MIN @ POR,  ,  ,  ,"o2.5 +120
u2.5 -150",  ,  ,"o2.5 +120
u2.5 -150",  ,"o2.5 +112
u2.5 -154",  ,  ,  ,  ,  ,"o2.5 +110
u2.5 -161",  ,  ,  ,  ,{},{}
2/15 10:00 PM Mike Conley(G) MIN @ POR,  ,  ,  ,"o1.5 -165
u1.5 +135",  ,  ,"o1.5 -166
u1.5 +130",  ,"o1.5 -175
u1.5 +126",  ,  ,  ,  ,  ,"o1.5 -188
u1.5 +120",  ,  ,  ,  ,{1.5: -173.5},{1.5: 127.8}
2/15 10:00 PM Anfernee Simons(G) POR vs. MIN,  ,  ,  ,  ,  ,"o3.5 -104
u3.5 -122","o3.5 -110
u3.5 -120",  ,"o3.5 -111
u3.5 -123",  ,"o3.5 -109
u3.5 -119","o3.5 -109
u3.5 -119","o3.5 +100
u3.5 -132","o3.5 +100
u3.5 -132","o3.5 -118
u3.5 -133","o3.5 +100
u3.5 -132","o3.5 -109
u3.5 -119","o3.5 +100
u3.5 -132","o3.5 +100
u3.5 -132",{3.5: -110.0},{3.5: -122.1}
2/15 10:00 PM Jerami Grant(F) POR vs. MIN,  ,  ,  ,  ,  ,"o1.5 -156
u1.5 +122","o1.5 -150
u1.5 +120",  ,"o1.5 -164
u1.5 +118",  ,"o1.5 -159
u1.5 +122","o1.5 -159
u1.5 +122","o1.5 -157
u1.5 +118","o1.5 -157
u1.5 +118","o1.5 -163
u1.5 +110","o1.5 -157
u1.5 +118","o1.5 -159
u1.5 +122","o1.5 -157
u1.5 +118","o1.5 -157
u1.5 +118",{1.5: -157.9},{1.5: 118.8}
